DateTime,AddedIPs,RemovedIPs
1555533916,0,256
1555545624,256,0
1555547106,0,256
1555607721,0,256
1555608616,512,0
1555611315,0,256
1555611635,256,0
1555632023,0,256
1555633820,256,0
1555694520,512,256
1555696821,256,0
1555709417,0,256
1555719642,512,0
1555730354,0,256
1555779622,0,768
1555780824,1024,0
1555785015,256,0
1555805717,0,256
1555852800,256,0
1555867364,0,1024
1555870838,0,256
1555884916,0,256
1555918221,0,256
1555948823,0,512
1555953929,768,0
1555957172,256,0
1555964577,256,0
1555978871,256,0
1556033087,512,0
1556040368,0,512
1556043318,0,256
1556049634,0,256
1556050965,512,0
1556065305,768,0
1556119408,0,1024
1556136927,0,256
1556141426,0,256
1556145003,3584,0
1556148143,256,0
1556150423,0,512
1556151989,1280,0
1556223605,1792,0
1556224214,256,0
1556227178,256,0
1556231417,0,2048
1556238208,1792,1280
1556263040,0,256
1556270690,256,0
1556302815,1792,0
1556309938,0,2304
1556310615,0,256
1556313316,0,256
1556313547,256,0
1556317817,256,256
1556320517,256,0
1556324338,1280,768
1556326819,0,256
1556350219,256,0
1556362825,0,256
1556374833,1280,0
1556389124,0,2304
1556391619,256,0
1556400606,0,256
1556401519,0,512
1556402426,256,0
1556411084,1280,0
1556429403,256,0
1556440275,256,0
1556461242,0,2816
1556468475,2560,0
1556474418,256,256
1556482991,512,0
1556488827,0,1024
1556492423,256,256
1556496919,0,768
1556497443,768,0
1556500520,0,256
1556522253,0,256
1556528426,0,512
1556548221,256,0
1556553621,0,2048
1556554617,2304,0
1556557219,256,0
1556560819,256,0
1556561853,512,0
1556564418,0,256
1556565501,256,0
1556569272,0,256
1556576233,0,768
1556578827,0,256
1556583483,768,0
1556619630,256,0
1556633800,0,256
1556641003,0,3072
1556646649,0,256
1556648230,0,256
1556654441,0,256
1556656219,1280,0
1556661624,0,256
1556669872,256,1024
1556676999,256,0
1556695265,256,0
1556723705,768,0
1556733620,256,256
1556734779,256,0
1556741765,0,1536
1556756120,0,256
1556757023,256,0
1556763347,0,256
1556810596,0,768
1556814012,768,0
1556820024,256,0
1556820984,0,256
1556828311,0,256
1556842599,256,0
1556893221,768,0
1556900409,0,256
1556906427,0,512
1556911203,256,0
1556914663,0,256
1556929071,0,256
1556978433,0,768
1556986967,512,0
1556992822,256,256
1556993721,0,256
1557069408,768,0
1557072919,0,768
1557080510,256,0
1557102629,256,0
1557156157,0,768
1557163097,512,0
1557169222,256,0
1557173815,512,0
1557181207,256,0
1557189028,256,256
1557242236,256,0
1557249738,0,512
1557252025,0,256
1557255622,0,256
1557260396,0,512
1557274526,0,256
1557328530,0,768
1557328786,512,0
1557415256,768,256
1557418872,256,0
1557424824,256,0
1557428423,256,0
1557433431,256,0
1557440125,0,256
1557447706,512,0
1557497926,768,0
1557505331,256,256
1557507622,256,0
1557512123,0,256
1557528327,0,256
1557534018,0,256
1557558029,0,256
1557584364,512,1536
1557588116,256,0
1557590425,0,256
1557619233,0,256
1557620448,256,0
1557669633,0,512
1557681881,1024,0
1557692574,512,0
1557700224,0,256
1557705629,0,256
1557707403,256,0
1557732153,256,0
1557768388,1280,1280
1557778519,0,256
1557779088,256,0
1557793804,768,256
1557822126,0,256
1557851142,3072,0
1557854501,256,1280
1557856822,512,0
1557861319,256,0
1557861863,256,0
1557868893,256,0
1557873004,256,0
1557874827,256,0
1557879322,0,768
1557879951,1024,0
1557894200,256,0
1557937617,0,3328
1557939624,0,256
1557941068,2816,0
1557943218,256,256
1557944714,768,0
1557946818,0,256
1557952056,256,256
1557953121,256,0
1557957629,256,0
1557958520,0,256
1557960320,0,256
1557966604,256,512
1557970222,256,0
1557979222,0,256
1558016739,768,0
1558017918,256,0
1558026919,0,3840
1558029621,256,0
1558030519,0,768
1558031403,512,0
1558045883,256,256
1558052662,512,256
1558055726,0,256
1558101626,0,1536
1558110273,1024,256
